"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429858A"	"20090513"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429858B"	"20100915"
"中国西电电气股份有限公司"	"T000025764"	"CN101430954A"	"20090513"
"中国西电电气股份有限公司"	"T000025764"	"CN101430954B"	"20110810"
"中国西电电气股份有限公司"	"T000025764"	"CN101434822A"	"20090520"
"中国西电电气股份有限公司"	"T000025764"	"CN101434822B"	"20120523"
"中国西电电气股份有限公司"	"T000025764"	"CN101435839A"	"20090520"
"中国西电电气股份有限公司"	"T000025764"	"CN101435839B"	"20110914"
"东软集团股份有限公司"	"02600718"	"CN101436195A"	"20090520"
"东软集团股份有限公司"	"02600718"	"CN101436253A"	"20090520"
"东软集团股份有限公司"	"02600718"	"CN101436253B"	"20120425"
"东软集团股份有限公司"	"02600718"	"CN101436300A"	"20090520"
"东软集团股份有限公司"	"02600718"	"CN101436300B"	"20121031"
"中国西电电气股份有限公司"	"T000025764"	"CN101436456A"	"20090520"
"中国西电电气股份有限公司"	"T000025764"	"CN101436456B"	"20110323"
"中国西电电气股份有限公司"	"T000025764"	"CN101436487A"	"20090520"
"中国西电电气股份有限公司"	"T000025764"	"CN101439975A"	"20090527"
"中国西电电气股份有限公司"	"T000025764"	"CN101439975B"	"20111109"
"中国西电电气股份有限公司"	"T000025764"	"CN101439989A"	"20090527"
"中国西电电气股份有限公司"	"T000025764"	"CN101439989B"	"20121121"
"东软集团股份有限公司"	"02600718"	"CN101441076A"	"20090527"
"东软集团股份有限公司"	"02600718"	"CN101441076B"	"20100602"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101442283A"	"20090527"
"东软集团股份有限公司"	"02600718"	"CN101447040A"	"20090603"
"东软集团股份有限公司"	"02600718"	"CN101447078A"	"20090603"
"东软集团股份有限公司"	"02600718"	"CN101447078B"	"20110615"
"中国西电电气股份有限公司"	"T000025764"	"CN101447262A"	"20090603"
"中兴通讯股份有限公司"	"01000063"	"CN101448046A"	"20090603"
"中兴通讯股份有限公司"	"01000063"	"CN101448046B"	"20101208"
"中国西电电气股份有限公司"	"T000025764"	"CN101451256A"	"20090610"
"中国西电电气股份有限公司"	"T000025764"	"CN101451256B"	"20100929"
"中国西电电气股份有限公司"	"T000025764"	"CN101452045A"	"20090610"
"中国西电电气股份有限公司"	"T000025764"	"CN101452045B"	"20101222"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101452286A"	"20090610"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101452286B"	"20101215"
"中国西电电气股份有限公司"	"T000025764"	"CN101453136A"	"20090610"
"中国西电电气股份有限公司"	"T000025764"	"CN101453136B"	"20110504"
"中国西电电气股份有限公司"	"T000025764"	"CN101458266A"	"20090617"
"中国西电电气股份有限公司"	"T000025764"	"CN101458266B"	"20110810"
"中国西电电气股份有限公司"	"T000025764"	"CN101458307A"	"20090617"
"中国西电电气股份有限公司"	"T000025764"	"CN101458307B"	"20110504"
"东软集团股份有限公司"	"02600718"	"CN101458814A"	"20090617"
"东软集团股份有限公司"	"02600718"	"CN101458814B"	"20120201"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101469424A"	"20090701"
"东软集团股份有限公司"	"02600718"	"CN101469992A"	"20090701"
"东软集团股份有限公司"	"02600718"	"CN101469992B"	"20130313"
"东软集团股份有限公司"	"02600718"	"CN101470806A"	"20090701"
"东软集团股份有限公司"	"02600718"	"CN101470806B"	"20120627"
"东软集团股份有限公司"	"02600718"	"CN101477629A"	"20090708"
"东软集团股份有限公司"	"02600718"	"CN101477629B"	"20120111"
"中国西电电气股份有限公司"	"T000025764"	"CN101480826A"	"20090715"
"中国西电电气股份有限公司"	"T000025764"	"CN101480826B"	"20101229"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101487878A"	"20090722"
"中国西电电气股份有限公司"	"T000025764"	"CN101499368A"	"20090805"
"中国西电电气股份有限公司"	"T000025764"	"CN101499368B"	"20110323"
"西部金属材料股份有限公司"	"03133852"	"CN101503802A"	"20090812"
"金堆城钼业股份有限公司"	"03134603"	"CN101507944A"	"20090819"
"中国西电电气股份有限公司"	"T000025764"	"CN101515014A"	"20090826"
"中国西电电气股份有限公司"	"T000025764"	"CN101515014B"	"20110119"
"沈阳兴齐眼药股份有限公司"	"T000060171"	"CN101518547B"	"20130130"
"中国西电电气股份有限公司"	"T000025764"	"CN101521090A"	"20090902"
"中国西电电气股份有限公司"	"T000025764"	"CN101521090B"	"20110119"
"中国西电电气股份有限公司"	"T000025764"	"CN101527431A"	"20090909"
"中国西电电气股份有限公司"	"T000025764"	"CN101527431B"	"20101229"
"西安标准工业股份有限公司"	"02600302"	"CN101532216A"	"20090916"
"西安标准工业股份有限公司"	"02600302"	"CN101532216B"	"20120704"
"西安标准工业股份有限公司"	"02600302"	"CN101532223A"	"20090916"
"西安标准工业股份有限公司"	"02600302"	"CN101532223B"	"20121107"
"中国西电电气股份有限公司"	"T000025764"	"CN101533706A"	"20090916"
"中国西电电气股份有限公司"	"T000025764"	"CN101533706B"	"20120523"
"西安标准工业股份有限公司"	"02600302"	"CN101538782A"	"20090923"
"西安标准工业股份有限公司"	"02600302"	"CN101538782B"	"20121003"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101545360A"	"20090930"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101545360B"	"20100811"
"中国西电电气股份有限公司"	"T000025764"	"CN101552102A"	"20091007"
"中国西电电气股份有限公司"	"T000025764"	"CN101552109A"	"20091007"
"中国西电电气股份有限公司"	"T000025764"	"CN101552109B"	"20110119"
"中国西电电气股份有限公司"	"T000025764"	"CN101552145A"	"20091007"
